player_team_offense_ranking,player_fantasy_avg,weather,opp_team_defense_ranking,f_points_earned
14,20.55076923076923,81,13,8.84
14,4.55,81,13,5.0
14,9.273076923076923,81,13,16.5
14,13.079999999999998,81,13,18.0
14,6.126153846153846,81,13,2.4
14,6.150769230769232,81,13,1.8
14,8.644615384615385,81,13,0.0
14,0.37,81,13,0.0
20,8.87,81,29,4.08
20,5.005692307692308,81,29,5.5
20,9.1,81,29,30.2
20,4.463636363636364,81,29,2.6
20,7.0,81,29,3.2
20,10.58923076923077,81,29,4.8
20,-0.2,81,29,1.0
20,3.8861538461538463,81,29,0.4
4,20.794923076923073,58,24,8.999999999999998
4,17.303333333333335,58,24,41.2
4,2.0138461538461536,58,24,0.8
4,12.35923076923077,58,24,11.9
4,13.718461538461538,58,24,9.3
4,4.103076923076923,58,24,6.0
4,0.42000000000000004,58,24,0.6
18,8.862,58,16,29.58
18,1.7866666666666666,58,16,18.5
18,11.615384615384615,58,16,2.1
18,4.980769230769231,58,16,2.5
18,8.192307692307692,58,16,10.6
18,5.36,58,16,3.8
18,25.009999999999998,58,16,1.7
18,5.0346153846153845,58,16,1.3
18,1.6630769230769231,58,16,1.2
18,4.9107692307692306,58,16,0.0
31,3.21,61,1,-2.94
31,13.792,61,1,5.5600000000000005
31,2.21,61,1,3.1
31,6.74,61,1,2.1
31,4.493333333333334,61,1,0.3
31,5.392307692307693,61,1,2.6
31,0.8300000000000001,61,1,2.4
31,1.5633333333333332,61,1,1.8
31,1.31,61,1,1.4
31,3.45,61,1,1.0
31,0.7,61,1,0.7
31,4.2,61,1,0.0
31,1.488181818181818,61,1,0.0
31,-0.5,61,1,0.0
12,14.789333333333332,61,20,21.74
12,6.685076923076923,61,20,4.859999999999999
12,8.903333333333334,61,20,16.4
12,4.5138461538461545,61,20,15.2
12,9.360000000000001,61,20,11.899999999999999
12,7.507692307692308,61,20,4.5
12,4.931538461538461,61,20,4.9
12,1.52,61,20,4.0
12,5.7446153846153845,61,20,3.8
12,2.05,61,20,3.2
12,3.8730769230769235,61,20,3.1
12,1.43,61,20,0.5
30,14.302,59,23,13.239999999999998
30,9.003846153846155,59,23,6.8999999999999995
30,13.15,59,23,5.5
30,2.14,59,23,0.3
30,3.583846153846154,59,23,5.4
30,7.46,59,23,5.1
30,3.0,59,23,2.5
30,5.88076923076923,59,23,1.4
30,1.65,59,23,0.0
30,1.58,59,23,0.0
16,14.326461538461537,59,9,7.160000000000001
16,19.490000000000002,59,9,24.8
16,0.5700000000000001,59,9,0.8
16,6.942307692307692,59,9,4.8
16,5.81,59,9,1.8
16,2.62,59,9,1.6
16,12.615333333333332,59,9,11.0
16,1.4023076923076925,59,9,0.8
11,18.37492307692308,62,12,11.04
11,11.273333333333333,62,12,10.9
11,5.3330769230769235,62,12,15.6
11,4.57,62,12,3.7
11,3.4361538461538466,62,12,2.7
11,0.1677777777777778,62,12,1.2
11,1.48,62,12,1.1
11,0.11000000000000001,62,12,0.0
11,2.57,62,12,0.0
11,0.7,62,12,0.0
11,12.646153846153847,62,12,7.1
6,17.857846153846154,62,6,21.279999999999998
6,2.8600000000000003,62,6,6.9
6,3.1,62,6,3.1
6,12.425384615384615,62,6,5.6
6,4.662307692307692,62,6,1.9
6,7.97,62,6,10.3
6,2.893076923076923,62,6,6.6
6,2.226153846153846,62,6,2.2
6,4.003076923076923,62,6,1.1
9,19.732,78,11,48.28
9,7.923846153846153,78,11,6.9
9,0.6799999999999999,78,11,0.6
9,2.516153846153846,78,11,0.30000000000000004
9,11.279999999999998,78,11,14.7
9,9.777272727272727,78,11,14.6
9,8.65,78,11,5.4
9,6.9923076923076914,78,11,4.1
9,7.213846153846153,78,11,2.7
9,0.06999999999999999,78,11,0.0
9,4.405384615384615,78,11,0.0
2,20.856,78,30,29.56
2,17.41923076923077,78,30,38.1
2,0.81,78,30,-1.1
2,6.529999999999999,78,30,7.3
2,12.754615384615384,78,30,16.0
2,3.513076923076923,78,30,4.4
2,1.6730769230769231,78,30,2.0
2,1.6915384615384617,78,30,1.5
2,5.09,78,30,0.0
2,0.03,78,30,0.0
2,1.153076923076923,78,30,0.0
23,12.672,78,7,9.04
23,10.273333333333333,78,7,5.1
23,3.6918181818181814,78,7,1.7999999999999998
23,10.406153846153847,78,7,9.0
23,6.21,78,7,6.1
23,2.8176923076923077,78,7,5.6
23,1.8836363636363636,78,7,2.8
23,4.33,78,7,2.1
23,3.994615384615385,78,7,0.0
23,6.5344444444444445,78,7,0.0
24,17.81533333333333,78,27,20.36
24,7.51,78,27,4.2
24,7.515714285714286,78,27,7.5
24,11.342727272727274,78,27,5.1
24,14.223333333333334,78,27,10.2
24,2.83,78,27,1.8
24,4.86,78,27,1.1
24,0.45,78,27,0.9
24,0.11000000000000001,78,27,0.6
24,0.77,78,27,0.0
27,3.7000000000000006,89,26,2.6799999999999997
27,12.611333333333333,89,26,1.62
27,7.11923076923077,89,26,23.0
27,10.104000000000001,89,26,3.1
27,7.992307692307692,89,26,6.2
27,5.2,89,26,5.2
27,1.3515384615384616,89,26,3.7
27,3.4230769230769234,89,26,1.7
27,3.210769230769231,89,26,1.2
27,4.17,89,26,0.0
21,14.802,89,4,13.6
21,6.707692307692308,89,4,6.1
21,10.379999999999999,89,4,6.6
21,10.116,89,4,3.8
21,7.033333333333333,89,4,10.6
21,3.9299999999999997,89,4,3.8
21,4.748666666666667,89,4,2.6
21,1.046153846153846,89,4,1.1
17,15.686545454545456,78,15,16.52
17,14.258181818181818,78,15,26.9
17,11.265555555555554,78,15,7.199999999999999
17,5.9799999999999995,78,15,4.4
17,10.409230769230769,78,15,2.6
17,0.72,78,15,0.9
17,3.6730769230769234,78,15,0.4
17,5.59,78,15,0.3
17,6.25,78,15,0.9000000000000001
8,20.194153846153846,78,32,19.459999999999997
8,3.1738461538461546,78,32,6.1
8,5.8707692307692305,78,32,5.199999999999999
8,0.9,78,32,0.9
8,5.746666666666666,78,32,4.0
8,3.3554545454545455,78,32,5.9
8,10.816153846153846,78,32,5.1
8,12.232727272727272,78,32,4.6
8,3.2676923076923075,78,32,1.8
8,2.653076923076923,78,32,1.8
8,3.8114285714285714,78,32,1.3
1,26.27276923076923,84,8,28.340000000000003
1,18.566363636363636,84,8,4.9
1,4.533076923076923,84,8,4.0
1,15.706923076923076,84,8,17.299999999999997
1,1.0715384615384616,84,8,3.6
1,7.31,84,8,2.1
1,4.163846153846154,84,8,1.5
1,13.227692307692307,84,8,0.6
1,1.5,84,8,0.1
1,1.6530769230769233,84,8,0.0
5,18.934307692307694,84,28,26.96
5,20.15,84,28,16.6
5,9.083846153846155,84,28,12.6
5,2.1566666666666667,84,28,2.0
5,0.04,84,28,0.1
5,11.147692307692306,84,28,10.8
5,7.320769230769231,84,28,8.1
5,1.9115384615384614,84,28,2.1
5,2.903076923076923,84,28,1.6
5,6.483846153846153,84,28,0.8
22,16.577384615384616,81,25,6.699999999999999
22,17.108461538461537,81,25,20.6
22,1.0,81,25,0.5
22,5.09,81,25,0.1
22,4.663076923076923,81,25,7.3
22,1.55,81,25,2.7
22,2.5892307692307694,81,25,2.0
22,3.3566666666666665,81,25,1.8
22,3.571538461538462,81,25,0.9
22,0.6,81,25,0.6
22,1.04,81,25,0.0
10,20.14553846153846,81,2,24.240000000000002
10,17.894615384615385,81,2,7.5
10,2.0966666666666667,81,2,3.5
10,6.811538461538462,81,2,0.3
10,1.0330769230769232,81,2,12.1
10,6.38,81,2,4.1
10,5.8966666666666665,81,2,3.3
10,3.043846153846154,81,2,2.3
10,3.2333333333333334,81,2,1.5
10,1.6199999999999999,81,2,0.4
13,18.33533333333333,84,10,20.42
13,10.110000000000001,84,10,5.8999999999999995
13,4.71,84,10,4.3
13,6.9,84,10,10.5
13,10.753333333333334,84,10,5.9
13,3.27,84,10,4.6
13,2.9890909090909092,84,10,1.1
13,0.35,84,10,0.7
13,3.75,84,10,0.7
13,5.6466666666666665,84,10,0.0
13,5.08,84,10,0.0
19,12.621538461538462,84,5,19.16
19,13.675384615384615,84,5,10.2
19,6.735454545454545,84,5,7.1
19,3.117692307692308,84,5,1.5
19,10.428666666666667,84,5,13.5
19,5.08,84,5,6.3
19,5.774615384615386,84,5,4.5
19,2.83,84,5,2.9
19,3.6409090909090907,84,5,1.5
19,1.7076923076923078,84,5,0.0
19,1.8015384615384615,84,5,0.0
28,12.8,78,21,19.599999999999998
28,11.320769230769232,78,21,26.6
28,6.021428571428571,78,21,12.8
28,0.4,78,21,0.7
28,5.059230769230769,78,21,4.8
28,6.779999999999999,78,21,3.2
28,5.584285714285714,78,21,2.2
28,4.91,78,21,1.1
28,3.6230769230769235,78,21,0.9
32,3.562000000000001,78,14,2.8200000000000003
32,12.080769230769231,78,14,18.7
32,2.5592307692307696,78,14,4.8
32,6.637692307692308,78,14,7.6
32,2.911538461538462,78,14,1.9
32,6.71,78,14,0.4
32,2.16,78,14,0.0
7,19.253636363636364,62,17,20.04
7,8.463846153846152,62,17,10.7
7,10.48169230769231,62,17,4.1
7,7.7718181818181815,62,17,6.1
7,5.529230769230769,62,17,2.5
7,5.793846153846154,62,17,1.5
7,6.4879999999999995,62,17,1.4
7,0.11000000000000001,62,17,0.9
7,0.09,62,17,0.6
15,19.014,62,3,24.939999999999998
15,-0.95,62,3,-1.7999999999999998
15,3.5415384615384617,62,3,4.7
15,4.43,62,3,2.8
15,5.802857142857143,62,3,14.2
15,14.738461538461538,62,3,8.8
15,8.06,62,3,6.9
15,1.3615384615384616,62,3,1.3
15,5.143076923076924,62,3,0.8
26,10.726,78,19,13.82
26,9.20923076923077,78,19,34.2
26,6.755714285714286,78,19,6.5
26,1.9615384615384617,78,19,2.1
26,-0.041538461538461524,78,19,0.2
26,4.261818181818182,78,19,6.3
26,9.92,78,19,4.9
26,0.9400000000000001,78,19,2.7
26,0.47000000000000003,78,19,0.7
26,6.218181818181819,78,19,3.1999999999999997
25,13.291076923076924,78,22,8.04
25,-1.54,78,22,-1.54
25,4.28,78,22,3.5
25,10.74,78,22,3.7
25,8.823846153846153,78,22,11.4
25,4.191428571428571,78,22,7.9
25,8.973333333333333,78,22,5.4
25,1.35,78,22,0.7
25,0.86,78,22,0.6
25,0.37,78,22,0.5
25,0.73,78,22,0.0
25,5.359999999999999,78,22,-0.3
3,18.650153846153845,69,31,17.22
3,21.745384615384616,69,31,14.700000000000001
3,11.89,69,31,6.800000000000001
3,10.07230769230769,69,31,9.299999999999999
3,11.18769230769231,69,31,4.3
3,2.7,69,31,2.3
29,14.48646153846154,69,18,6.219999999999999
29,10.67,69,18,16.9
29,5.242307692307692,69,18,7.9
29,5.566923076923078,69,18,1.7
29,5.82,69,18,1.8
29,9.119230769230768,69,18,18.0
29,5.463333333333334,69,18,2.3
29,0.9815384615384616,69,18,2.0
29,4.59,69,18,1.1
12,14.789333333333332,82,32,17.84
12,9.360000000000001,82,32,9.0
12,4.5138461538461545,82,32,16.4
12,2.05,82,32,3.8
12,6.685076923076923,82,32,0.6
12,1.43,82,32,1.1
12,7.507692307692308,82,32,9.2
12,5.7446153846153845,82,32,5.6
12,4.931538461538461,82,32,5.4
12,1.52,82,32,2.6
12,3.8730769230769235,82,32,1.7
17,15.686545454545456,82,1,26.6
17,14.258181818181818,82,1,8.700000000000001
17,6.25,82,1,4.2
17,10.409230769230769,82,1,9.1
17,11.265555555555554,82,1,6.9
17,3.6730769230769234,82,1,4.5
17,5.9799999999999995,82,1,2.3
17,0.72,82,1,1.1
17,0.16999999999999998,82,1,0.0
17,5.59,82,1,0.5
20,8.87,91,30,15.66
20,4.463636363636364,91,30,20.5
20,4.406923076923078,91,30,0.9999999999999998
20,9.1,91,30,14.700000000000001
20,5.005692307692308,91,30,9.0
20,10.58923076923077,91,30,9.4
20,0.74,91,30,5.7
20,1.06,91,30,3.9
20,0.37,91,30,0.0
9,19.732,91,13,29.979999999999997
9,7.923846153846153,91,13,2.9000000000000004
9,2.516153846153846,91,13,3.5999999999999996
9,0.6799999999999999,91,13,0.9
9,9.777272727272727,91,13,12.9
9,8.65,91,13,9.6
9,11.279999999999998,91,13,6.300000000000001
9,6.9923076923076914,91,13,5.6
9,7.213846153846153,91,13,0.8
5,18.934307692307694,83,20,22.740000000000002
5,9.083846153846155,83,20,9.8
5,20.15,83,20,18.6
5,11.147692307692306,83,20,6.7
5,1.9115384615384614,83,20,5.5
5,6.483846153846153,83,20,4.8
5,7.320769230769231,83,20,2.7
5,-1.3333333333333333,83,20,0.0
5,2.903076923076923,83,20,0.0
5,0.21000000000000002,83,20,0.0
5,0.18,83,20,-0.1
31,13.792,83,8,13.0
31,6.74,83,8,6.8
31,4.493333333333334,83,8,15.7
31,2.21,83,8,1.2999999999999998
31,5.392307692307693,83,8,6.3
31,4.2,83,8,3.0
31,1.488181818181818,83,8,2.9
31,0.48,83,8,2.4
31,3.45,83,8,1.9
31,1.5633333333333332,83,8,0.7
31,0.8300000000000001,83,8,0.7
31,1.31,83,8,0.0
10,20.14553846153846,78,29,27.599999999999998
10,17.894615384615385,78,29,13.899999999999999
10,2.0966666666666667,78,29,3.1
10,6.811538461538462,78,29,5.8
10,1.0330769230769232,78,29,0.4
10,6.38,78,29,7.7
10,3.043846153846154,78,29,6.2
10,3.2333333333333334,78,29,3.3
10,1.6199999999999999,78,29,1.0
14,20.55076923076923,78,25,42.68000000000001
14,9.273076923076923,78,25,12.5
14,4.982307692307693,78,25,5.3999999999999995
14,8.644615384615385,78,25,6.7
14,13.079999999999998,78,25,6.4
14,6.126153846153846,78,25,5.9
14,1.3776923076923075,78,25,3.0
14,1.1,78,25,1.0
14,-0.95,78,25,0.0
14,6.150769230769232,78,25,1.5
1,26.27276923076923,80,16,38.839999999999996
1,18.566363636363636,80,16,8.0
1,7.31,80,16,13.1
1,4.533076923076923,80,16,0.3
1,13.227692307692307,80,16,10.9
1,15.706923076923076,80,16,9.0
1,4.163846153846154,80,16,-0.30000000000000004
1,1.8115384615384618,80,16,0.3
1,1.6530769230769233,80,16,0.2
4,20.794923076923073,80,28,42.98
4,17.303333333333335,80,28,18.5
4,2.0138461538461536,80,28,1.9
4,1.48,80,28,0.7
4,4.103076923076923,80,28,13.8
4,12.35923076923077,80,28,12.1
4,13.718461538461538,80,28,6.7
4,5.406666666666666,80,28,2.6
4,0.27999999999999997,80,28,1.9
4,1.3454545454545455,80,28,1.4
11,18.37492307692308,81,4,22.799999999999997
11,11.273333333333333,81,4,7.0
11,5.3330769230769235,81,4,3.6
11,10.618571428571428,81,4,11.3
11,12.646153846153847,81,4,11.0
11,4.57,81,4,4.5
11,1.48,81,4,2.1
11,2.57,81,4,1.9
11,3.4361538461538466,81,4,0.0
27,3.7000000000000006,81,6,8.879999999999999
27,10.104000000000001,81,6,5.92
27,0.5116923076923077,81,6,6.640000000000001
27,7.11923076923077,81,6,4.3
27,1.3966666666666665,81,6,6.6
27,7.992307692307692,81,6,5.5
27,4.17,81,6,3.2
27,1.3515384615384616,81,6,1.5
27,3.4230769230769234,81,6,1.4
27,0.37,81,6,0.8
21,14.802,80,22,17.119999999999997
21,10.379999999999999,80,22,19.0
21,6.707692307692308,80,22,4.4
21,10.116,80,22,4.5
21,3.9299999999999997,80,22,3.2
21,4.748666666666667,80,22,3.2
21,2.7,80,22,1.9
21,7.033333333333333,80,22,1.7
26,10.726,80,26,13.459999999999999
26,9.20923076923077,80,26,3.9
26,6.755714285714286,80,26,8.0
26,4.261818181818182,80,26,9.2
26,9.92,80,26,8.4
26,3.990769230769231,80,26,3.0
26,6.218181818181819,80,26,0.7000000000000002
26,0.47000000000000003,80,26,2.4
26,3.06,80,26,-0.1
18,8.862,78,11,14.44
18,1.7866666666666666,78,11,17.0
18,11.615384615384615,78,11,1.4
18,4.9107692307692306,78,11,8.799999999999999
18,4.980769230769231,78,11,1.0
18,8.192307692307692,78,11,6.9
18,5.36,78,11,4.7
18,5.0346153846153845,78,11,2.0
18,1.6630769230769231,78,11,1.5
2,20.856,78,24,17.619999999999997
2,17.41923076923077,78,24,9.899999999999999
2,0.81,78,24,1.8
2,12.754615384615384,78,24,6.9
2,6.529999999999999,78,24,3.5
2,3.513076923076923,78,24,1.9
2,5.09,78,24,1.8
2,1.6915384615384617,78,24,0.5
2,1.153076923076923,78,24,0.4
2,1.6730769230769231,78,24,0.0
2,0.03,78,24,-0.1
24,17.81533333333333,80,17,31.5
24,7.515714285714286,80,17,9.0
24,7.51,80,17,1.9
24,0.77,80,17,0.5
24,11.342727272727274,80,17,12.9
24,14.223333333333334,80,17,13.1
24,4.86,80,17,7.2
24,2.83,80,17,2.3
24,0.45,80,17,1.9
15,19.014,80,7,16.04
15,3.5415384615384617,80,7,7.1000000000000005
15,4.43,80,7,4.0
15,5.143076923076924,80,7,9.5
15,14.738461538461538,80,7,6.4
15,8.06,80,7,6.4
15,5.802857142857143,80,7,3.0
15,1.3615384615384616,80,7,0.4
15,4.613076923076924,80,7,0.3
15,0.3,80,7,0.0
8,20.194153846153846,71,14,11.36
8,3.1738461538461546,71,14,6.3999999999999995
8,11.84,71,14,3.6
8,5.8707692307692305,71,14,12.5
8,12.232727272727272,71,14,8.3
8,3.3554545454545455,71,14,3.0
8,10.816153846153846,71,14,2.6
8,5.746666666666666,71,14,2.0
8,3.2676923076923075,71,14,1.7
28,12.8,71,15,13.08
28,6.779999999999999,71,15,3.7
28,11.320769230769232,71,15,5.0
28,6.021428571428571,71,15,9.299999999999999
28,0.4,71,15,0.1
28,5.584285714285714,71,15,6.3
28,5.059230769230769,71,15,3.5
28,4.91,71,15,3.7
28,3.6230769230769235,71,15,0.7
28,-0.04,71,15,0.0
25,13.291076923076924,73,27,24.680000000000003
25,10.74,73,27,6.6
25,5.359999999999999,73,27,3.5
25,4.191428571428571,73,27,11.8
25,8.823846153846153,73,27,8.9
25,8.973333333333333,73,27,5.4
25,4.28,73,27,4.7
25,3.5,73,27,1.5
25,0.73,73,27,1.3
23,12.672,73,19,16.64
23,10.273333333333333,73,19,27.900000000000002
23,3.6918181818181814,73,19,8.0
23,4.33,73,19,5.7
23,6.21,73,19,3.5
23,0.6815384615384616,73,19,2.2
23,10.406153846153847,73,19,2.2
23,2.8176923076923077,73,19,1.3
23,3.994615384615385,73,19,0.4
23,1.8836363636363636,73,19,0.0
32,3.562000000000001,86,18,1.6
32,12.080769230769231,86,18,5.1
32,2.5592307692307696,86,18,2.0
32,0.15,86,18,0.1
32,6.637692307692308,86,18,2.8
32,6.71,86,18,2.7
32,2.911538461538462,86,18,1.7
32,2.16,86,18,0.0
32,0.49000000000000005,86,18,0.0
3,18.650153846153845,86,21,16.36
3,2.7,86,21,4.6
3,21.745384615384616,86,21,43.3
3,10.07230769230769,86,21,15.9
3,11.18769230769231,86,21,8.1
3,11.89,86,21,6.3
3,3.2746153846153847,86,21,1.7
3,2.5092307692307694,86,21,0.3
6,17.857846153846154,97,9,16.36
6,10.36,97,9,4.1
6,2.8600000000000003,97,9,2.2
6,12.425384615384615,97,9,8.4
6,4.662307692307692,97,9,2.3
6,2.893076923076923,97,9,4.4
6,4.003076923076923,97,9,4.2
6,0.74,97,9,3.5
6,7.97,97,9,1.5
6,2.226153846153846,97,9,0.0
30,14.302,97,12,32.54
30,9.003846153846155,97,12,7.1
30,2.14,97,12,6.8999999999999995
30,0.5,97,12,0.4
30,3.583846153846154,97,12,11.6
30,5.88076923076923,97,12,3.4
30,3.0,97,12,2.3
30,1.58,97,12,2.2
30,1.65,97,12,1.7
30,1.5399999999999998,97,12,-0.7
30,7.46,97,12,7.6
29,14.48646153846154,92,10,15.52
29,10.67,92,10,18.8
29,5.566923076923078,92,10,2.4
29,5.242307692307692,92,10,0.3
29,5.82,92,10,11.6
29,9.119230769230768,92,10,4.9
29,4.59,92,10,4.3
29,3.3699999999999997,92,10,3.0
29,5.463333333333334,92,10,3.0
29,0.16999999999999998,92,10,1.2
29,0.9815384615384616,92,10,0.5
19,12.621538461538462,92,31,20.48
19,13.675384615384615,92,31,11.1
19,6.735454545454545,92,31,14.8
19,3.117692307692308,92,31,1.7
19,10.428666666666667,92,31,9.6
19,2.83,92,31,4.8
19,1.7076923076923078,92,31,2.6
19,5.08,92,31,1.8
19,0.5900000000000001,92,31,1.1
19,3.6409090909090907,92,31,1.0
19,5.774615384615386,92,31,0.9
16,14.326461538461537,78,2,13.56
16,19.490000000000002,78,2,10.8
16,1.4023076923076925,78,2,1.3
16,0.5700000000000001,78,2,0.1
16,5.81,78,2,6.7
16,12.615333333333332,78,2,5.1
16,2.7,78,2,4.1
16,6.942307692307692,78,2,2.4
16,2.62,78,2,0.5
16,2.540909090909091,78,2,0.0
22,16.577384615384616,78,23,14.9
22,17.108461538461537,78,23,20.700000000000003
22,5.09,78,23,9.4
22,1.55,78,23,3.3
22,4.663076923076923,78,23,1.3
22,0.6,78,23,1.2
22,2.5892307692307694,78,23,0.9
22,3.571538461538462,78,23,0.5
22,0.38,78,23,0.0
13,18.33533333333333,79,3,14.739999999999998
13,4.71,79,3,3.0
13,10.110000000000001,79,3,2.4
13,7.001818181818182,79,3,0.19999999999999998
13,10.753333333333334,79,3,6.0
13,3.27,79,3,4.4
13,6.9,79,3,4.2
13,3.75,79,3,3.6
13,2.9890909090909092,79,3,2.3
13,0.38000000000000006,79,3,2.2
7,19.253636363636364,79,5,14.4
7,8.463846153846152,79,5,6.8
7,5.529230769230769,79,5,4.7
7,10.48169230769231,79,5,2.5
7,5.793846153846154,79,5,2.2
7,7.7718181818181815,79,5,8.3
7,6.4879999999999995,79,5,1.1
7,1.1615384615384614,79,5,0.6
26,10.726,83,24,2.76
26,6.755714285714286,83,24,7.3
26,9.20923076923077,83,24,29.1
26,4.261818181818182,83,24,5.7
26,3.06,83,24,3.5
26,9.92,83,24,2.5
26,6.218181818181819,83,24,0.20000000000000018
26,0.47000000000000003,83,24,1.4
26,1.25,83,24,0.0
26,3.990769230769231,83,24,-0.1
18,15.450000000000003,83,22,7.839999999999999
18,8.862,83,22,2.96
18,1.7866666666666666,83,22,34.3
18,4.980769230769231,83,22,3.3
18,11.615384615384615,83,22,0.6
18,8.192307692307692,83,22,10.3
18,5.0346153846153845,83,22,3.6
18,5.36,83,22,3.2
18,4.9107692307692306,83,22,2.0
18,0.18,83,22,0.0
17,15.686545454545456,80,25,14.079999999999998
17,6.25,80,25,20.6
17,10.409230769230769,80,25,13.7
17,5.9799999999999995,80,25,7.4
17,11.265555555555554,80,25,5.8
17,3.6730769230769234,80,25,1.9
17,0.72,80,25,1.6
17,5.59,80,25,1.6
17,0.16999999999999998,80,25,1.2
10,20.14553846153846,80,32,41.6
10,17.894615384615385,80,32,19.4
10,2.0966666666666667,80,32,3.3
10,1.0330769230769232,80,32,0.1
10,6.38,80,32,6.7
10,1.6199999999999999,80,32,2.0
10,3.2333333333333334,80,32,1.9
10,3.043846153846154,80,32,0.7
10,6.811538461538462,80,32,0.3
19,12.621538461538462,61,1,5.68
19,6.735454545454545,61,1,17.8
19,10.428666666666667,61,1,19.3
19,13.675384615384615,61,1,2.0
19,3.117692307692308,61,1,4.4
19,0.5900000000000001,61,1,0.2
19,5.08,61,1,6.3
19,5.774615384615386,61,1,3.7
19,2.83,61,1,0.8
19,3.6409090909090907,61,1,0.7
12,14.789333333333332,61,10,15.28
12,9.360000000000001,61,10,19.4
12,4.5138461538461545,61,10,14.6
12,7.507692307692308,61,10,8.6
12,5.7446153846153845,61,10,6.1
12,3.8730769230769235,61,10,5.9
12,4.931538461538461,61,10,3.9
12,2.05,61,10,0.5
12,1.52,61,10,0.2
12,6.685076923076923,61,10,0.0
2,20.856,78,29,52.54
2,17.41923076923077,78,29,19.0
2,1.8036923076923077,78,29,3.9
2,6.529999999999999,78,29,3.2
2,0.81,78,29,1.0
2,0.03,78,29,0.2
2,12.754615384615384,78,29,12.9
2,3.513076923076923,78,29,7.1
